DeviceID,SubID,ParentID,Name,Type,EntityID,Unit,Location,Description,Category,Group,Criticality
25,72,25,Питание,binary_sensor,binary_sensor.25_datchik_elektrichestva_door,on/off,Ввод,Наличие сети,power,other,critical
25,73,25,Батарея,battery,sensor.datchik_elektrichestva_battery,%,Внутри датчика,Питание датчика,power,battery,critical
26,0,0,Датчики улица,device,,,Снаружи,Погодные условия,service,other,normal
26,74,26,Выключатель,switch,switch.temperature_and_humidity_alarm_switch,on/off,Снаружи,Питание,power,plants,normal
26,75,26,Влажность улица,sensor,sensor.temperature_and_humidity_alarm_humidity,%,Снаружи,Не используется,plants,plants,normal
26,76,26,Освещенность улица,sensor,sensor.temperature_and_humidity_alarm_illuminance,lx,Снаружи,Для шторы,service,light,important
26,77,26,Температура улица,sensor,sensor.temperature_and_humidity_alarm_temperature,°C,Снаружи,Для прогноза,plants,plants,normal
26,78,26,Батарея улица,sensor,sensor.temperature_and_humidity_alarm_battery_state,low/ok,Снаружи,Состояние,service,battery,important
27,0,0,Камера верхний правый,device,,,Верхний ярус справа,Видеонаблюдение,camera,other,important
27,79,27,Видео,camera,camera.kamera_verkhnii_stellazh_obshchii_plan,,Верхний ярус,Дальний горшок,camera,camera,important
28,0,0,Камера верхний левый,device,,,Верхний ярус слева,Видеонаблюдение,camera,other,important
28,80,28,Видео,camera,camera.kamera_na_ogurtsy,,Верхний ярус,Горшок у окна,camera,camera,important
29,0,0,Резервный выключатель,device,,,Щиток,Резервное питание,power,electricity,critical
29,81,29,Выключатель,switch,switch.wifi_perekliuchatel_na_din_reiku_2_switch,on/off,Щиток,Дублёр щитка,power,electricity,critical
30,0,0,Датчик освещения верх,device,,,Верхний ярус,Тестовый датчик,service,light,important
30,82,30,Освещенность,sensor,sensor.lightsensor_illuminance,lx,Верхний ярус,Для проверки,service,light,important
30,83,30,Светимость,sensor,sensor.lightsensor_luminosity,,Верхний ярус,Не используется,service,light,important
31,0,0,Zigbee хаб,device,,,Веранда,Координатор сети,safety,gateway,critical
31,84,31,Проблема,binary_sensor,binary_sensor.multimode_gateway_mini_problem,on/off,Хаб,Статус связи,safety,gateway,critical
32,0,0,Камера нижний левый,device,,,Нижний ярус слева,Видеонаблюдение,camera,other,important
32,85,32,Видео,camera,camera.security_camera_4_2,,Нижний ярус,Серый горшок,camera,camera,important
33,0,0,Камера нижний правый,device,,,Нижний ярус справа,Видеонаблюдение,camera,other,important
33,86,33,Видео,camera,camera.kamera_vertikalnaia_pomidor,,Нижний ярус,Большой белый,camera,camera,important
34,0,0,Полив верхний ярус,device,,,Верхний ярус,Система полива,service,watering,important
34,87,34,Клапан основной,switch,switch.klubnika_poliv_verkh_switch_1,on/off,Верхний ярус,Главный клапан,control,watering,important
34,88,34,Клапан удобрения,switch,switch.klubnika_poliv_verkh_switch_2,on/off,Верхний ярус,С удобрениями,control,watering,important
34,89,34,Защита,switch,switch.klubnika_poliv_verkh_switch_3,on/off,Верхний ярус,От сухого хода,control,other,normal
35,0,0,Полив нижний ярус,device,,,Нижний ярус,Система полива,service,watering,important
35,90,35,Клапан основной,switch,switch.klubnika_poliv_switch_1,on/off,Нижний ярус,Главный клапан,control,watering,important
35,91,35,Клапан удобрения,switch,switch.klubnika_poliv_switch_2,on/off,Нижний ярус,С удобрениями,control,watering,important
35,92,35,Защита,switch,switch.klubnika_poliv_switch_3,on/off,Нижний ярус,От сухого хода,control,other,normal
36,0,0,Сетевой фильтр (3),device,,,Зона полива,Вспомогательное питание,power,watering,important
36,93,36,Насос удобрений,switch,switch.smart_power_strip_eu_2_socket_4,on/off,Зона полива,Перемешивание,power,electricity,critical
36,94,36,Розетка увлажнителя,switch,switch.smart_power_strip_eu_2_socket_3,on/off,Пол,Питание увлажнителя,power,electricity,critical
36,95,36,USB датчик освещения,switch,switch.smart_power_strip_eu_2_socket_5,on/off,Верхний ярус,Питание датчика,power,electricity,critical
37,0,0,Сетевой фильтр (2),device,,,Верхний ярус,Основное питание,power,other,normal
37,96,37,Свет верхний,light,switch.setevoi_filtr_klubnika_socket_2,on/off,Верхний ярус,Лампа 300Вт,control,light,important
37,97,37,Насос полив верх,pump,switch.setevoi_filtr_klubnika_socket_4,on/off,Зона полива,Насос верха,control,watering,important
37,98,37,Насос полив низ,pump,switch.setevoi_filtr_klubnika_socket_3,on/off,Зона полива,Насос низа,control,watering,important
37,99,37,Питание камер,socket,switch.setveoi_filtr_klubnika_socket_5,on/off,Стеллаж,Питание 4 камер,power,other,normal
38,0,0,Сетевой фильтр (1),device,,,Вентиляция,Управление воздухом,plants,airflow,important
38,100,38,Вентиляторы верх,fan,switch.setevoi_filtr_novyi_socket_1,on/off,Верхний ярус,Обдув растений,control,airflow,important
38,101,38,Вентиляторы низ,fan,switch.setevoi_filtr_novyi_usb_1,on/off,Нижний ярус,Обдув растений,control,airflow,important
38,102,38,Питание датчика 24,socket,switch.setevoi_filtr_Novyi_socket_2,on/off,Нижний ярус,Питание T/H датчика,power,other,normal
38,103,38,Питание датчика 4,socket,switch.setevoi_filtr_novyi_socket_3,on/off,Верхний ярус,Питание CO₂ датчика,power,other,normal
38,104,38,Свет нижний,light,switch.setevoi_filtr_novyi_socket_4,on/off,Нижний ярус, 300w,control,light,important
